matchid,start_time,end_time,winner,series_type,team1_name,team1_score,team2_name,team2_score,server_ip,mapnumber,mapname,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed,result
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561198011109384,team_WolvesCryPLUR,Exorar,18,16,1990,5,0,0,2,1,5,6,1,1,12,6,1685,1990,225,52,3,1,0,0,7,6,62450,0,6700,1095,11,56150,9,LOSS
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561198061369908,team_WolvesCryPLUR,WolvesCry.PLUR,12,15,1338,3,0,0,1,0,4,63,0,0,8,2,1399,1338,131,46,1,0,1,0,6,2,55450,0,4500,937,3,72300,4,LOSS
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561197995088806,team_Exorar,watwat,11,12,1266,4,0,0,0,3,11,7,1,1,7,0,1394,1266,156,36,1,1,0,0,3,1,73350,0,3900,976,5,57700,0,WIN
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561198043334107,team_WolvesCryPLUR,LinkM,11,15,1369,3,0,0,0,3,5,62,2,2,4,1,1530,1369,137,47,1,0,1,0,6,3,40750,0,3900,1166,4,52650,1,LOSS
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561198066340111,team_WolvesCryPLUR,Maius Marus der Chefkoch.Crucial,7,15,819,3,0,0,0,2,1,0,0,0,2,1,1675,819,93,18,0,0,0,0,6,1,52450,0,2100,1003,7,49950,1,LOSS
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561197989300593,team_Exorar,DerDax,11,13,1079,3,0,0,0,2,6,55,1,1,8,3,1339,1079,121,28,0,0,3,0,6,3,54750,0,3600,1071,7,68450,4,WIN
1,2026-08-03 16:11:08,2026-08-03 16:45:22,team_Exorar,BO1,team_WolvesCryPLUR,7,team_Exorar,13,-,0,de_overpass,76561198077206432,team_Exorar,Thitzen,24,9,2405,2,0,0,3,3,2,32,1,2,11,5,1244,2405,216,65,2,1,3,2,6,4,77350,0,10200,1176,16,65850,5,WIN
3,2026-08-03 19:12:53,2026-08-03 19:45:23,team_Thitzen,BO1,team_WolvesCryPLUR,8,team_Thitzen,13,-,0,de_cache,76561198061369908,team_WolvesCryPLUR,WolvesCry.PLUR,17,14,1513,1,0,1,0,3,8,35,2,2,6,1,1629,1513,142,46,0,0,4,1,4,2,72450,0,5500,1044,4,67700,1,LOSS
3,2026-08-03 19:12:53,2026-08-03 19:45:23,team_Thitzen,BO1,team_WolvesCryPLUR,8,team_Thitzen,13,-,0,de_cache,76561197977957073,team_WolvesCryPLUR,FasT the 'eggFletcher',16,17,1773,5,0,0,2,1,11,207,4,4,15,7,1916,1773,266,48,1,1,0,0,10,5,73600,0,4600,825,6,63000,9,LOSS
3,2026-08-03 19:12:53,2026-08-03 19:45:23,team_Thitzen,BO1,team_WolvesCryPLUR,8,team_Thitzen,13,-,0,de_cache,76561198077206432,team_Thitzen,Thitzen,21,15,1931,0,0,0,1,6,5,4,1,1,7,2,1659,1931,216,53,1,0,0,0,8,5,88650,0,8700,945,11,67200,2,WIN
